sk_agrunt_health, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0
sk_agrunt_dmg_punch, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0
sk_agrunt_melee_engage_distance, 48.0, 48.0, 48.0, 48.0, 48.0, 48.0, 48.0, 48.0
sk_agrunt_berserker_dmg_punch, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0
sk_apache_health, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0
sk_barnacle_health, 800.0, 800.0, 800.0, 800.0, 800.0, 800.0, 800.0, 800.0
sk_barnacle_bite, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0
sk_barney_health, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0
sk_bullsquid_health, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0 
sk_bullsquid_dmg_bite, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0
sk_bullsquid_dmg_whip, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0
sk_bullsquid_dmg_spit, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0
sk_bigmomma_health_factor, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
sk_bigmomma_dmg_slash, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0
sk_bigmomma_dmg_blast, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0, 280.0
sk_bigmomma_radius_blast, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0, 400.0
sk_gargantua_health, 1500.0, 1500.0, 1500.0, 1500.0, 1500.0, 1500.0, 1500.0, 1500.0
sk_gargantua_dmg_slash, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0
sk_gargantua_dmg_fire, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0
sk_gargantua_dmg_stomp, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0
